category,name,type
Air-to-Air,ADM-141A,Unguided
Air-to-Air,AIM-120B,Active Radar
Air-to-Air,AIM-120C,Active Radar
Air-to-Air,SD-10,Active Radar
Air-to-Air,AIM-54A Mk47,Semi-Active Radar
Air-to-Air,AIM-54A Mk60,Semi-Active Radar
Air-to-Air,AIM_54A_Mk60,Semi-Active Radar
Air-to-Air,AIM_54C_Mk47,Semi-Active Radar
Air-to-Air,AIM-54C Mk47,Semi-Active Radar
Air-to-Air,AIM-7E,Semi-Active Radar
Air-to-Air,AIM-7F,Semi-Active Radar
Air-to-Air,AIM-7M,Semi-Active Radar
Air-to-Air,AIM-7MH,Semi-Active Radar
Air-to-Air,AIM-9B,Infrared
Air-to-Air,AIM-9C,Semi-Active Radar
Air-to-Air,AIM-9D,Infrared
Air-to-Air,AIM-9E,Infrared
Air-to-Air,PL-5EII,Infrared
Air-to-Air,AIM-9G,Infrared
Air-to-Air,AIM-9H,Infrared
Air-to-Air,AIM-9J,Infrared
Air-to-Air,AIM-9L,Infrared
Air-to-Air,AIM-9M,Infrared
Air-to-Air,AIM-9P,Infrared
Air-to-Air,AIM-9P5,Infrared
Air-to-Air,AIM-9X,Infrared
Air-to-Air,CAP-9M,Infrared
Air-to-Air,Mistral,Infrared
Air-to-Air,R.550,Infrared
Air-to-Air,R-13M,Infrared
Air-to-Air,R-13M1,Infrared
Air-to-Air,R-27ER,Semi-Active Radar
Air-to-Air,R-27ET,Infrared
Air-to-Air,R-27R,Semi-Active Radar
Air-to-Air,R-27T,Infrared
Air-to-Air,R-3R,Semi-Active Radar
Air-to-Air,R-3S,Infrared
Air-to-Air,R4M,Unguided
Air-to-Air,R-55,Infrared
Air-to-Air,R-60,Infrared
Air-to-Air,R-60M,Infrared
Air-to-Air,R-73,Infrared
Air-to-Air,R-77,Active Radar
Air-to-Air,RS-2US,Semi-Active Radar
Air-to-Air,Super 530D,Semi-Active Radar
Air-to-Air,Werfer-Granate 21,Unguided
Guns,2A42,Autocannon
Guns,DEFA 554,Revolver cannon
Guns,GAU-8/A,Autocannon
Guns,GIAT 621,Autocannon
Guns,GSh-23,Autocannon
Guns,GSh-30,Autocannon
Guns,GSh-23L,Autocannon
Guns,GSh-30-2,Autocannon
Guns,GSh-301,Autocannon
Guns,GSh-302,Autocannon
Guns,Hispano Mk.II,Autocannon
Guns,M1919 Browning,Machine gun
Guns,M134 Minigun,Machine gun
Guns,M2 Browning,Machine gun
Guns,M3 Browning,Machine gun
Guns,M39A2,Revolver cannon
Guns,M-61A1,Autocannon
Guns,M-61,Autocannon
Guns,M-61A2,Autocannon
Guns,MG 131,Machine gun
Guns,MG 151,Autocannon
Guns,MK 108,Autocannon
Guns,N-37,Autocannon
